strategy,step,ncells,kappa_h,kappa_star_h,eta,error
uniform,4,96,13.953928442146111,13.517060174341552,0.09829150370145964,0.0748600388434486
uniform,6,216,13.745295663063919,13.54670272348216,0.04568958454756838,0.04521748970284101
uniform,8,384,13.673080612932342,13.560382515197457,0.02676294631751722,0.03153769798754347
uniform,10,600,13.640486283539637,13.568031189280706,0.017801559362922516,0.02388902390429415
adaptive,0,96,13.953928442146111,13.517060174341552,0.09829150370145964,0.0748600388434486
adaptive,1,214,13.777615812482333,13.56022580602931,0.045379113921032756,0.031694407155690385
adaptive,2,362,13.708692106078335,13.579042140492316,0.02545077329285235,0.012878072692684484
adaptive,3,740,13.66846444296651,13.586200255956092,0.012555895372630783,0.005719957228908612
adaptive,4,1232,13.63229717433068,13.589333653372629,0.007150151639036845,0.002586559812371547
adaptive,5,2111,13.616013477918246,13.590807705335763,0.0039019832341023247,0.001112507849237332
