k,n,h,e_sigma,e_gamma,e_u
1,4,0.25,0.7796809425336712,0.13095616004419847,0.18936998747135173
1,8,0.125,0.20471659651772273,0.03270731102868423,0.09323880968633616
1,16,0.0625,0.05192294805945278,0.008174223383951022,0.04637005189542129
1,32,0.03125,0.013038737075158572,0.0020436607577538303,0.023151434294550143
1,64,0.015625,0.003264609594358181,0.0005109376977237557,0.011571440255106836
2,4,0.25,0.06610043938552622,0.01169148199097762,0.02759521532024795
2,8,0.125,0.008390988123671193,0.0012617538864600753,0.007001662703418797
2,16,0.0625,0.0010485411331943592,0.00012437169515389963,0.0017573449432546052
2,32,0.03125,0.00013086674844545195,1.2539541541749703e-05,0.00043977765162381884
3,4,0.25,0.00564326861343683,0.0012327212718467597,0.003060753710575318
3,8,0.125,0.000359627273711975,8.586413637126712e-05,0.0003884659261564013
3,16,0.0625,2.2609180905420377e-05,5.560846962707311e-06,4.8745293007289555e-05
