k,n,h,kappa_h,error
1,8,0.125,53.52044244989722,2.2254444725752194
1,16,0.0625,51.85614283593834,0.5611448586163448
1,24,0.041666666666666664,51.544923722570104,0.24992574524810607
1,32,0.03125,51.43569305271813,0.14069507539613113
2,8,0.125,51.326517099133,0.03151912181100158
2,16,0.0625,51.297046839431566,0.002048862109568006
2,24,0.041666666666666664,51.29540580790637,0.00040783058437199315
3,8,0.125,51.295250696808814,0.00025271948681648837
3,12,0.08333333333333333,51.29502090787766,2.293055565871782e-05
3,16,0.0625,51.29500211054685,4.133224848601458e-06
