k,n,h,kappa_h,kappa_star_h,error_raw,error_postprocessed
1,8,0.125,53.52044244989722,51.31390680937915,2.2254444725752194,0.018908832057149993
1,16,0.0625,51.85614283593834,51.29569013691392,0.5611448586163448,0.0006921595919209267
1,24,0.041666666666666664,51.544923722570104,51.29510974578639,0.24992574524810607,0.0001117684643929806
1,32,0.03125,51.43569305271813,51.295029724338725,0.14069507539613113,3.174701672747915e-05
2,8,0.125,51.326517099133,51.29538120584486,0.03151912181100158,0.00038322852286398756
2,16,0.0625,51.297046839431566,51.29500439242487,0.002048862109568006,6.415102873802425e-06
2,24,0.041666666666666664,51.29540580790637,51.29499852585797,0.00040783058437199315,5.485359722001704e-07
3,8,0.125,51.295250696808814,51.29499474423798,0.00025271948681648837,3.23308401561917e-06
3,12,0.08333333333333333,51.29502090787766,51.294997493485646,2.293055565871782e-05,4.838363523163025e-07
3,16,0.0625,51.29500211054685,51.2949978780684,4.133224848601458e-06,9.925359734097583e-08
